时间,设备编号,顶板离层速率,锚杆轴力增量,锚索轴力增量,支架阻力,涌水量,微震能量,距水体/岩溶体距离,数据质量,风险等级
2025/12/27 23:59,监测1,0,0,0,0.48,11.16,65.19,125,正常,低风险
2025/12/27 23:56,监测1,0,0,0,0.49,11.69,64.82,124.99,正常,低风险
2025/12/27 23:53,监测1,0,0,0,0.49,9.67,55.42,124.97,正常,低风险
2025/12/27 23:51,监测1,0,0,0,0.49,10.24,34.45,124.96,正常,低风险
2025/12/27 23:48,监测1,0,0,0,0.48,9.13,27.65,124.95,正常,低风险
2025/12/27 23:45,监测1,0,0,0,0.48,10.27,27.37,124.94,正常,低风险
2025/12/27 23:42,监测1,0,0,0,0.48,8.97,47.08,124.92,正常,低风险
2025/12/27 23:40,监测1,0,0,0,0.48,10.77,27.54,124.91,正常,低风险
2025/12/27 23:37,监测1,0,0,0,0.49,5.22,64.41,124.9,正常,低风险
2025/12/27 23:34,监测1,0,0,0,0.49,10.7,54.13,124.89,正常,低风险
2025/12/27 23:30,监测1,0,0,0,0.48,11.28,46.64,124.87,正常,低风险
2025/12/27 23:27,监测1,0,0,0,0.48,11.91,52.62,124.86,正常,低风险
2025/12/27 23:25,监测1,0,0,0,0.49,9.77,47.26,124.85,正常,低风险
2025/12/27 23:22,监测1,0,0,0,0.49,10.09,29.79,124.84,正常,低风险
2025/12/27 23:19,监测1,0,0,0,0.5,6.1,43.93,124.82,正常,低风险
2025/12/27 23:16,监测1,0,0,0,0.48,5.72,68.88,124.81,正常,低风险
2025/12/27 23:14,监测1,0,0,0,0.48,5.54,31.61,124.8,正常,低风险
2025/12/27 23:11,监测1,0,0,0,0.5,7.33,31.86,124.79,正常,低风险
2025/12/27 23:08,监测1,0,0,0,0.48,7.44,19.11,124.77,正常,低风险
2025/12/27 23:05,监测1,0,0,0,0.5,8.01,71.41,124.76,正常,低风险
2025/12/27 23:03,监测1,0,0,0,0.49,6.58,68.46,124.75,正常,低风险
2025/12/27 23:00,监测1,0,0,0,0.49,8.64,45.3,124.74,正常,低风险
2025/12/27 22:57,监测1,0,0,0,0.48,4.83,35.58,124.72,正常,低风险
2025/12/27 22:54,监测1,0,0,0,0.48,8.22,61.37,124.71,正常,低风险
2025/12/27 22:52,监测1,0,0,0,0.5,11.53,21.45,124.7,正常,低风险
2025/12/27 22:49,监测1,0,0,0,0.5,12.21,71.59,124.69,正常,低风险
2025/12/27 22:46,监测1,0,0,0,0.49,6.87,24.96,124.67,正常,低风险
2025/12/27 22:43,监测1,0,0,0,0.49,8.81,21.35,124.66,正常,低风险
2025/12/27 22:41,监测1,0,0,0,0.48,5.07,27.75,124.65,正常,低风险
2025/12/27 22:38,监测1,0,0,0,0.5,5.83,38.64,124.64,正常,低风险
2025/12/27 22:34,监测1,0,0,0,0.48,6.33,24.25,124.62,正常,低风险
2025/12/27 22:31,监测1,0,0,0,0.5,11.6,37.63,124.61,正常,低风险
